County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),Value (Dollars),Rank within US
"Aroostook County, Maine",23003,Rural,50843.000000000,"2485 of 3142"
"Otero County, New Mexico",35035,Rural,50833.000000000,"2486 of 3142"
"Sioux County, Nebraska",31165,Rural,50833.000000000,"2486 of 3142"
"Pike County, Ohio",39131,Rural,50832.000000000,"2488 of 3142"
"Okmulgee County, Oklahoma",40111,Urban,50819.000000000,"2489 of 3142"
"St. Martin Parish, Louisiana",22099,Urban,50806.000000000,"2490 of 3142"
"Wheeler County, Oregon",41069,Rural,50774.000000000,"2491 of 3142"
"Wilbarger County, Texas",48487,Rural,50769.000000000,"2492 of 3142"
"Lincoln County, Georgia",13181,Urban,50754.000000000,"2493 of 3142"
"Rockingham County, North Carolina",37157,Urban,50737.000000000,"2494 of 3142"
"San Juan County, New Mexico",35045,Urban,50734.000000000,"2495 of 3142"
"Torrance County, New Mexico",35057,Urban,50727.000000000,"2496 of 3142"
"Woods County, Oklahoma",40151,Rural,50724.000000000,"2497 of 3142"
"Cleveland County, North Carolina",37045,Rural,50723.000000000,"2498 of 3142"
"Hale County, Texas",48189,Rural,50721.000000000,"2499 of 3142"
"Wetzel County, West Virginia",54103,Rural,50715.000000000,"2500 of 3142"
"Newton County, Arkansas",05101,Rural,50699.000000000,"2501 of 3142"
"Duval County, Texas",48131,Rural,50697.000000000,"2502 of 3142"
"Appanoose County, Iowa",19007,Rural,50684.000000000,"2503 of 3142"
"Woodson County, Kansas",20207,Rural,50670.000000000,"2504 of 3142"
"Bibb County, Alabama",01007,Urban,50669.000000000,"2505 of 3142"
"Hopewell City, Virginia",51670,Urban,50661.000000000,"2506 of 3142"
"Obion County, Tennessee",47131,Rural,50638.000000000,"2507 of 3142"
"Carroll County, Kentucky",21041,Rural,50625.000000000,"2508 of 3142"
"Richmond County, Georgia",13245,Urban,50605.000000000,"2509 of 3142"
"Lewis County, West Virginia",54041,Rural,50552.000000000,"2510 of 3142"
"Lincoln County, Arkansas",05079,Rural,50526.000000000,"2511 of 3142"
"Rutherford County, North Carolina",37161,Rural,50512.000000000,"2512 of 3142"
"Okeechobee County, Florida",12093,Rural,50476.000000000,"2513 of 3142"
"Twiggs County, Georgia",13289,Urban,50446.000000000,"2514 of 3142"
"Ferry County, Washington",53019,Rural,50424.000000000,"2515 of 3142"
"Shelby County, Missouri",29205,Rural,50387.000000000,"2516 of 3142"
"Ogemaw County, Michigan",26129,Rural,50377.000000000,"2517 of 3142"
"Eddy County, North Dakota",38027,Rural,50375.000000000,"2518 of 3142"
"Navajo County, Arizona",04017,Rural,50335.000000000,"2519 of 3142"
"Burke County, Georgia",13033,Urban,50321.000000000,"2520 of 3142"
"Richardson County, Nebraska",31147,Rural,50321.000000000,"2520 of 3142"
"Greene County, North Carolina",37079,Rural,50320.000000000,"2522 of 3142"
"Alcona County, Michigan",26001,Rural,50295.000000000,"2523 of 3142"
"Muskogee County, Oklahoma",40101,Rural,50289.000000000,"2524 of 3142"
"Bee County, Texas",48025,Rural,50283.000000000,"2525 of 3142"
"Conway County, Arkansas",05029,Rural,50282.000000000,"2526 of 3142"
"Crosby County, Texas",48107,Urban,50268.000000000,"2527 of 3142"
"Knox County, Illinois",17095,Rural,50263.000000000,"2528 of 3142"
"Hot Spring County, Arkansas",05059,Rural,50260.000000000,"2529 of 3142"
"Monroe County, Missouri",29137,Rural,50245.000000000,"2530 of 3142"
"Benton County, Missouri",29015,Rural,50229.000000000,"2531 of 3142"
"Fayette County, West Virginia",54019,Urban,50090.000000000,"2532 of 3142"
"Washington County, Idaho",16087,Rural,50046.000000000,"2533 of 3142"
"Rowan County, Kentucky",21205,Rural,50038.000000000,"2534 of 3142"
"Watauga County, North Carolina",37189,Rural,50034.000000000,"2535 of 3142"
"Chester County, South Carolina",45023,Urban,50022.000000000,"2536 of 3142"
"Mississippi County, Arkansas",05093,Rural,50012.000000000,"2537 of 3142"
"Elk County, Kansas",20049,Rural,50000.000000000,"2538 of 3142"
"Greene County, Mississippi",28041,Rural,50000.000000000,"2538 of 3142"
"Loup County, Nebraska",31115,Rural,50000.000000000,"2538 of 3142"
"Sampson County, North Carolina",37163,Rural,49963.000000000,"2541 of 3142"
"Screven County, Georgia",13251,Rural,49941.000000000,"2542 of 3142"
"Levy County, Florida",12075,Urban,49933.000000000,"2543 of 3142"
"Russell County, Kansas",20167,Rural,49929.000000000,"2544 of 3142"
"Roscommon County, Michigan",26143,Rural,49898.000000000,"2545 of 3142"
"Randolph County, Alabama",01111,Rural,49879.000000000,"2546 of 3142"
"Mitchell County, Texas",48335,Rural,49869.000000000,"2547 of 3142"
"Cibola County, New Mexico",35006,Rural,49866.000000000,"2548 of 3142"
"Unicoi County, Tennessee",47171,Urban,49855.000000000,"2549 of 3142"
"Wayne County, Georgia",13305,Rural,49847.000000000,"2550 of 3142"
"Wilson County, North Carolina",37195,Rural,49827.000000000,"2551 of 3142"
"De Soto Parish, Louisiana",22031,Urban,49807.000000000,"2552 of 3142"
"Crawford County, Kansas",20037,Rural,49779.000000000,"2553 of 3142"
"Lewis County, Missouri",29111,Rural,49779.000000000,"2553 of 3142"
"Abbeville County, South Carolina",45001,Rural,49759.000000000,"2555 of 3142"
"Comanche County, Kansas",20033,Rural,49754.000000000,"2556 of 3142"
"Union County, Arkansas",05139,Rural,49745.000000000,"2557 of 3142"
"Marion County, Alabama",01093,Rural,49743.000000000,"2558 of 3142"
"Suwannee County, Florida",12121,Rural,49729.000000000,"2559 of 3142"
"Carroll County, Tennessee",47017,Rural,49700.000000000,"2560 of 3142"
"Adair County, Kentucky",21001,Rural,49690.000000000,"2561 of 3142"
"Chaves County, New Mexico",35005,Rural,49673.000000000,"2562 of 3142"
"Upshur County, West Virginia",54097,Rural,49663.000000000,"2563 of 3142"
"Hamblen County, Tennessee",47063,Urban,49656.000000000,"2564 of 3142"
"Huerfano County, Colorado",08055,Rural,49631.000000000,"2565 of 3142"
"Marion County, Kentucky",21155,Rural,49627.000000000,"2566 of 3142"
"Woodruff County, Arkansas",05147,Rural,49608.000000000,"2567 of 3142"
"Lamar County, Alabama",01075,Rural,49565.000000000,"2568 of 3142"
"Winston County, Alabama",01133,Rural,49494.000000000,"2569 of 3142"
"Lincoln County, Kentucky",21137,Rural,49487.000000000,"2570 of 3142"
"Hitchcock County, Nebraska",31087,Rural,49456.000000000,"2571 of 3142"
"Jones County, Mississippi",28067,Rural,49451.000000000,"2572 of 3142"
"Prowers County, Colorado",08099,Rural,49422.000000000,"2573 of 3142"
"Decatur County, Kansas",20039,Rural,49412.000000000,"2574 of 3142"
"Duplin County, North Carolina",37061,Rural,49376.000000000,"2575 of 3142"
"Hidalgo County, Texas",48215,Urban,49371.000000000,"2576 of 3142"
"Washington County, Missouri",29221,Rural,49364.000000000,"2577 of 3142"
"Wayne County, Tennessee",47181,Rural,49360.000000000,"2578 of 3142"
"Whitman County, Washington",53075,Rural,49345.000000000,"2579 of 3142"
"Scott County, Indiana",18143,Rural,49343.000000000,"2580 of 3142"
"Forrest County, Mississippi",28035,Urban,49340.000000000,"2581 of 3142"
"Floyd County, Texas",48153,Rural,49321.000000000,"2582 of 3142"
"Ouachita Parish, Louisiana",22073,Urban,49261.000000000,"2583 of 3142"
"Hendry County, Florida",12051,Rural,49259.000000000,"2584 of 3142"
"Cherokee County, North Carolina",37039,Rural,49254.000000000,"2585 of 3142"
"Pike County, Arkansas",05109,Rural,49248.000000000,"2586 of 3142"
"Zavala County, Texas",48507,Rural,49243.000000000,"2587 of 3142"
"Shelby County, Texas",48419,Rural,49231.000000000,"2588 of 3142"
"Lemhi County, Idaho",16059,Rural,49216.000000000,"2589 of 3142"
"Hardy County, West Virginia",54031,Rural,49205.000000000,"2590 of 3142"
"Laclede County, Missouri",29105,Rural,49202.000000000,"2591 of 3142"
"Atoka County, Oklahoma",40005,Rural,49181.000000000,"2592 of 3142"
"Patrick County, Virginia",51141,Rural,49180.000000000,"2593 of 3142"
"Ashe County, North Carolina",37009,Rural,49176.000000000,"2594 of 3142"
"Knox County, Missouri",29103,Rural,49167.000000000,"2595 of 3142"
"Newton County, Mississippi",28101,Rural,49160.000000000,"2596 of 3142"
"Halifax County with South Boston City, Virginia",51083,Rural,49145.000000000,"2597 of 3142"
"Montgomery County, Georgia",13209,Rural,49138.000000000,"2598 of 3142"
"Alpena County, Michigan",26007,Rural,49133.000000000,"2599 of 3142"
"Wilkes County, North Carolina",37193,Rural,49119.000000000,"2600 of 3142"
"Carroll County, Virginia",51035,Rural,49113.000000000,"2601 of 3142"
"Ritchie County, West Virginia",54085,Rural,48973.000000000,"2602 of 3142"
"Las Animas County, Colorado",08071,Rural,48965.000000000,"2603 of 3142"
"Cabell County, West Virginia",54011,Urban,48944.000000000,"2604 of 3142"
"Christian County, Kentucky",21047,Urban,48920.000000000,"2605 of 3142"
"Cleveland County, Arkansas",05025,Rural,48913.000000000,"2606 of 3142"
"McDonough County, Illinois",17109,Rural,48904.000000000,"2607 of 3142"
"Bibb County, Georgia",13021,Urban,48897.000000000,"2608 of 3142"
"Morgan County, Missouri",29141,Rural,48841.000000000,"2609 of 3142"
"Marion County, Georgia",13197,Urban,48836.000000000,"2610 of 3142"
"Nicholas County, West Virginia",54067,Rural,48826.000000000,"2611 of 3142"
"Jasper County, Texas",48241,Rural,48818.000000000,"2612 of 3142"
"Chambers County, Alabama",01017,Rural,48805.000000000,"2613 of 3142"
"Buena Vista City, Virginia",51530,Rural,48783.000000000,"2614 of 3142"
"Covington County, Alabama",01039,Rural,48772.000000000,"2615 of 3142"
"Pulaski County, Kentucky",21199,Rural,48768.000000000,"2616 of 3142"
"Athens County, Ohio",39009,Rural,48750.000000000,"2617 of 3142"
"Knox County, Texas",48275,Rural,48750.000000000,"2617 of 3142"
"Upson County, Georgia",13293,Rural,48740.000000000,"2619 of 3142"
"Clarke County, Georgia",13059,Urban,48692.000000000,"2620 of 3142"
"Oscoda County, Michigan",26135,Rural,48692.000000000,"2620 of 3142"
"Clarendon County, South Carolina",45027,Rural,48677.000000000,"2622 of 3142"
"Berrien County, Georgia",13019,Rural,48670.000000000,"2623 of 3142"
"Calhoun County, Georgia",13037,Rural,48663.000000000,"2624 of 3142"
"Hinds County, Mississippi",28049,Urban,48596.000000000,"2625 of 3142"
"Crenshaw County, Alabama",01041,Rural,48557.000000000,"2626 of 3142"
"Maverick County, Texas",48323,Urban,48497.000000000,"2627 of 3142"
"Johnston County, Oklahoma",40069,Rural,48476.000000000,"2628 of 3142"
"Decatur County, Tennessee",47039,Rural,48466.000000000,"2629 of 3142"
"Mason County, Kentucky",21161,Rural,48460.000000000,"2630 of 3142"
"Polk County, Arkansas",05113,Rural,48449.000000000,"2631 of 3142"
"Coffee County, Georgia",13069,Rural,48398.000000000,"2632 of 3142"
"Malheur County, Oregon",41045,Rural,48371.000000000,"2633 of 3142"
"Early County, Georgia",13099,Rural,48355.000000000,"2634 of 3142"
"Jefferson County, Oklahoma",40067,Rural,48346.000000000,"2635 of 3142"
"Vance County, North Carolina",37181,Rural,48340.000000000,"2636 of 3142"
"Perry County, Mississippi",28111,Urban,48333.000000000,"2637 of 3142"
"Ontonagon County, Michigan",26131,Rural,48316.000000000,"2638 of 3142"
"Calloway County, Kentucky",21035,Rural,48276.000000000,"2639 of 3142"
"Gregory County, South Dakota",46053,Rural,48272.000000000,"2640 of 3142"
"Wheatland County, Montana",30107,Rural,48272.000000000,"2640 of 3142"
"Catahoula Parish, Louisiana",22025,Rural,48259.000000000,"2642 of 3142"
"Campbell County, Tennessee",47013,Urban,48258.000000000,"2643 of 3142"
"Russell County, Kentucky",21207,Rural,48220.000000000,"2644 of 3142"
"White County, Tennessee",47185,Rural,48220.000000000,"2644 of 3142"
"Elbert County, Georgia",13105,Rural,48190.000000000,"2646 of 3142"
"Barren County, Kentucky",21009,Rural,48141.000000000,"2647 of 3142"
"Cross County, Arkansas",05037,Rural,48129.000000000,"2648 of 3142"
"Corson County, South Dakota",46031,Rural,48125.000000000,"2649 of 3142"
"Richland Parish, Louisiana",22083,Urban,48125.000000000,"2649 of 3142"
"Barton County, Missouri",29011,Rural,48105.000000000,"2651 of 3142"
"Clay County, Alabama",01027,Rural,48074.000000000,"2652 of 3142"
"Clark County, Arkansas",05019,Rural,48071.000000000,"2653 of 3142"
"Talbot County, Georgia",13263,Urban,48065.000000000,"2654 of 3142"
"Liberty County, Montana",30051,Rural,48047.000000000,"2655 of 3142"
"Marion County, Texas",48315,Rural,48040.000000000,"2656 of 3142"
"Henry County, Tennessee",47079,Rural,48025.000000000,"2657 of 3142"
"Craig County, Oklahoma",40035,Rural,48018.000000000,"2658 of 3142"
"Carter County, Tennessee",47019,Urban,47994.000000000,"2659 of 3142"
"Raleigh County, West Virginia",54081,Urban,47975.000000000,"2660 of 3142"
"Potter County, Texas",48375,Urban,47974.000000000,"2661 of 3142"
"Tippah County, Mississippi",28139,Rural,47968.000000000,"2662 of 3142"
"Grundy County, Tennessee",47061,Rural,47948.000000000,"2663 of 3142"
"DeKalb County, Alabama",01049,Rural,47920.000000000,"2664 of 3142"
"Lincoln County, New Mexico",35027,Rural,47919.000000000,"2665 of 3142"
"Gogebic County, Michigan",26053,Rural,47913.000000000,"2666 of 3142"
"Emanuel County, Georgia",13107,Rural,47905.000000000,"2667 of 3142"
"Panola County, Mississippi",28107,Rural,47894.000000000,"2668 of 3142"
"Fentress County, Tennessee",47049,Rural,47884.000000000,"2669 of 3142"
"Douglas County, Missouri",29067,Rural,47848.000000000,"2670 of 3142"
"Yukon-Koyukuk Census Area, Alaska",02290,Rural,47826.000000000,"2671 of 3142"
"Clare County, Michigan",26035,Rural,47816.000000000,"2672 of 3142"
"Johnson County, Georgia",13167,Rural,47796.000000000,"2673 of 3142"
"Weakley County, Tennessee",47183,Rural,47769.000000000,"2674 of 3142"
"Brewster County, Texas",48043,Rural,47747.000000000,"2675 of 3142"
"Benton County, Tennessee",47005,Rural,47737.000000000,"2676 of 3142"
"Alcorn County, Mississippi",28003,Rural,47716.000000000,"2677 of 3142"
"Franklin County, Arkansas",05047,Rural,47695.000000000,"2678 of 3142"
"Hamilton County, Florida",12047,Rural,47668.000000000,"2679 of 3142"
"Cottle County, Texas",48101,Rural,47625.000000000,"2680 of 3142"
"Miller County, Arkansas",05091,Urban,47613.000000000,"2681 of 3142"
"Geneva County, Alabama",01061,Urban,47608.000000000,"2682 of 3142"
"Butler County, Kentucky",21031,Urban,47589.000000000,"2683 of 3142"
"Caddo Parish, Louisiana",22017,Urban,47572.000000000,"2684 of 3142"
"Johnson County, Tennessee",47091,Rural,47571.000000000,"2685 of 3142"
"Greenwood County, South Carolina",45047,Rural,47553.000000000,"2686 of 3142"
"Clarke County, Alabama",01025,Rural,47549.000000000,"2687 of 3142"
"Wise County, Virginia",51195,Rural,47541.000000000,"2688 of 3142"
"Washington County, Florida",12133,Urban,47536.000000000,"2689 of 3142"
"Otero County, Colorado",08089,Rural,47500.000000000,"2690 of 3142"
"Sequoyah County, Oklahoma",40135,Urban,47494.000000000,"2691 of 3142"
"Crisp County, Georgia",13081,Rural,47463.000000000,"2692 of 3142"
"Columbia County, Arkansas",05027,Rural,47441.000000000,"2693 of 3142"
"Nolan County, Texas",48353,Rural,47437.000000000,"2694 of 3142"
"Cameron County, Texas",48061,Urban,47435.000000000,"2695 of 3142"
"Russell County, Alabama",01113,Urban,47420.000000000,"2696 of 3142"
"Baxter County, Arkansas",05005,Rural,47403.000000000,"2697 of 3142"
"Neshoba County, Mississippi",28099,Rural,47400.000000000,"2698 of 3142"
"Decatur County, Georgia",13087,Rural,47383.000000000,"2699 of 3142"
"Daniels County, Montana",30019,Rural,47378.000000000,"2700 of 3142"
"Franklin County, Alabama",01059,Rural,47359.000000000,"2701 of 3142"
"Ouachita County, Arkansas",05103,Rural,47348.000000000,"2702 of 3142"
"St. Mary Parish, Louisiana",22101,Rural,47322.000000000,"2703 of 3142"
"Trinity County, California",06105,Rural,47317.000000000,"2704 of 3142"
"Toombs County, Georgia",13279,Rural,47310.000000000,"2705 of 3142"
"Monroe County, Kentucky",21171,Rural,47252.000000000,"2706 of 3142"
"Butler County, Missouri",29023,Rural,47245.000000000,"2707 of 3142"
"Colquitt County, Georgia",13071,Rural,47235.000000000,"2708 of 3142"
"Walker County, Texas",48471,Rural,47193.000000000,"2709 of 3142"
"Garden County, Nebraska",31069,Rural,47139.000000000,"2710 of 3142"
"Coal County, Oklahoma",40029,Rural,47117.000000000,"2711 of 3142"
"Sanders County, Montana",30089,Rural,47110.000000000,"2712 of 3142"
"Jewell County, Kansas",20089,Rural,47109.000000000,"2713 of 3142"
"Montgomery County, Arkansas",05097,Rural,47103.000000000,"2714 of 3142"
"Grainger County, Tennessee",47057,Urban,47098.000000000,"2715 of 3142"
"Graham County, Kansas",20065,Rural,47071.000000000,"2716 of 3142"
"Lincoln County, Mississippi",28085,Rural,47069.000000000,"2717 of 3142"
"Union Parish, Louisiana",22111,Urban,47068.000000000,"2718 of 3142"
"Sabine County, Texas",48403,Rural,47061.000000000,"2719 of 3142"
"McCurtain County, Oklahoma",40089,Rural,47046.000000000,"2720 of 3142"
"Prairie County, Arkansas",05117,Rural,47045.000000000,"2721 of 3142"
"Bronx County, New York",36005,Urban,47036.000000000,"2722 of 3142"
"Grayson County, Kentucky",21085,Rural,47024.000000000,"2723 of 3142"
"Assumption Parish, Louisiana",22007,Urban,47023.000000000,"2724 of 3142"
"Cherokee County, South Carolina",45021,Rural,47011.000000000,"2725 of 3142"
"Yalobusha County, Mississippi",28161,Rural,47006.000000000,"2726 of 3142"
"Carter County, Kentucky",21043,Urban,47004.000000000,"2727 of 3142"
"Metcalfe County, Kentucky",21169,Rural,46932.000000000,"2728 of 3142"
"Petersburg City, Virginia",51730,Urban,46930.000000000,"2729 of 3142"
"McNairy County, Tennessee",47109,Rural,46920.000000000,"2730 of 3142"
"DeKalb County, Tennessee",47041,Rural,46907.000000000,"2731 of 3142"
"Hardin County, Tennessee",47071,Rural,46902.000000000,"2732 of 3142"
"Copiah County, Mississippi",28029,Urban,46889.000000000,"2733 of 3142"
"Fleming County, Kentucky",21069,Rural,46885.000000000,"2734 of 3142"
"Jefferson County, Georgia",13163,Rural,46865.000000000,"2735 of 3142"
"Jefferson County, Arkansas",05069,Rural,46855.000000000,"2736 of 3142"
"Real County, Texas",48385,Rural,46842.000000000,"2737 of 3142"
"Dade County, Missouri",29057,Rural,46806.000000000,"2738 of 3142"
"Colleton County, South Carolina",45029,Rural,46795.000000000,"2739 of 3142"
"Laurens County, Georgia",13175,Rural,46776.000000000,"2740 of 3142"
"Shannon County, Missouri",29203,Rural,46767.000000000,"2741 of 3142"
"Wilcox County, Georgia",13315,Rural,46759.000000000,"2742 of 3142"
"Le Flore County, Oklahoma",40079,Rural,46750.000000000,"2743 of 3142"
"Jackson County, Alabama",01071,Rural,46748.000000000,"2744 of 3142"
"Cook County, Georgia",13075,Rural,46706.000000000,"2745 of 3142"
"Crawford County, Indiana",18025,Rural,46706.000000000,"2745 of 3142"
"Lauderdale County, Tennessee",47097,Rural,46702.000000000,"2747 of 3142"
"Leake County, Mississippi",28079,Rural,46669.000000000,"2748 of 3142"
"Payne County, Oklahoma",40119,Rural,46658.000000000,"2749 of 3142"
"Dickens County, Texas",48125,Rural,46638.000000000,"2750 of 3142"
"La Paz County, Arizona",04012,Rural,46634.000000000,"2751 of 3142"
"Jim Wells County, Texas",48249,Rural,46626.000000000,"2752 of 3142"
"Mineral County, Nevada",32021,Rural,46625.000000000,"2753 of 3142"
"Cherokee County, Alabama",01019,Rural,46621.000000000,"2754 of 3142"
"Overton County, Tennessee",47133,Rural,46580.000000000,"2755 of 3142"
"Dallas County, Missouri",29059,Urban,46547.000000000,"2756 of 3142"
"Tazewell County, Virginia",51185,Rural,46508.000000000,"2757 of 3142"
"McDonald County, Missouri",29119,Rural,46494.000000000,"2758 of 3142"
"Carter County, Montana",30011,Rural,46486.000000000,"2759 of 3142"
"Lewis County, Idaho",16061,Rural,46484.000000000,"2760 of 3142"
"Deer Lodge County, Montana",30023,Rural,46436.000000000,"2761 of 3142"
"Mercer County, West Virginia",54055,Rural,46409.000000000,"2762 of 3142"
"St. Helena Parish, Louisiana",22091,Urban,46402.000000000,"2763 of 3142"
"Howell County, Missouri",29091,Rural,46401.000000000,"2764 of 3142"
"Irwin County, Georgia",13155,Rural,46383.000000000,"2765 of 3142"
"Edgecombe County, North Carolina",37065,Urban,46370.000000000,"2766 of 3142"
"Scioto County, Ohio",39145,Rural,46360.000000000,"2767 of 3142"
"Montmorency County, Michigan",26119,Rural,46345.000000000,"2768 of 3142"
"Clarke County, Mississippi",28023,Rural,46329.000000000,"2769 of 3142"
"Chesterfield County, South Carolina",45025,Rural,46326.000000000,"2770 of 3142"
"Tillman County, Oklahoma",40141,Rural,46306.000000000,"2771 of 3142"
"Colfax County, New Mexico",35007,Rural,46286.000000000,"2772 of 3142"
"Meigs County, Ohio",39105,Rural,46255.000000000,"2773 of 3142"
"Haskell County, Oklahoma",40061,Rural,46239.000000000,"2774 of 3142"
"Taylor County, Florida",12123,Rural,46239.000000000,"2774 of 3142"
"Adams County, Ohio",39001,Rural,46234.000000000,"2776 of 3142"
"Iosco County, Michigan",26069,Rural,46224.000000000,"2777 of 3142"
"Hertford County, North Carolina",37091,Rural,46196.000000000,"2778 of 3142"
"Forest County, Pennsylvania",42053,Rural,46188.000000000,"2779 of 3142"
"Cameron County, Pennsylvania",42023,Rural,46186.000000000,"2780 of 3142"
"Ottawa County, Oklahoma",40115,Rural,46186.000000000,"2780 of 3142"
"Izard County, Arkansas",05065,Rural,46159.000000000,"2782 of 3142"
"Jackson County, Florida",12063,Rural,46144.000000000,"2783 of 3142"
"Dodge County, Georgia",13091,Rural,46091.000000000,"2784 of 3142"
"Holmes County, Florida",12059,Rural,46063.000000000,"2785 of 3142"
"Seminole County, Georgia",13253,Rural,46063.000000000,"2785 of 3142"
"Ziebach County, South Dakota",46137,Rural,46023.000000000,"2787 of 3142"
"Morgan County, Kentucky",21175,Rural,46018.000000000,"2788 of 3142"
"Graham County, North Carolina",37075,Rural,46010.000000000,"2789 of 3142"
"Randolph County, Arkansas",05121,Rural,45993.000000000,"2790 of 3142"
"Mitchell County, Georgia",13205,Rural,45966.000000000,"2791 of 3142"
"Lake County, Michigan",26085,Rural,45946.000000000,"2792 of 3142"
"San Augustine County, Texas",48405,Rural,45888.000000000,"2793 of 3142"
"Taliaferro County, Georgia",13265,Rural,45881.000000000,"2794 of 3142"
"Sedgwick County, Colorado",08115,Rural,45855.000000000,"2795 of 3142"
"Crittenden County, Kentucky",21055,Rural,45810.000000000,"2796 of 3142"
"Bent County, Colorado",08011,Rural,45776.000000000,"2797 of 3142"
"Charlton County, Georgia",13049,Rural,45770.000000000,"2798 of 3142"
"Van Buren County, Arkansas",05141,Rural,45768.000000000,"2799 of 3142"
"Grenada County, Mississippi",28043,Rural,45745.000000000,"2800 of 3142"
"Carter County, Missouri",29035,Rural,45737.000000000,"2801 of 3142"
"Covington City, Virginia",51580,Rural,45737.000000000,"2801 of 3142"
"Gadsden County, Florida",12039,Urban,45721.000000000,"2803 of 3142"
"Caldwell Parish, Louisiana",22021,Rural,45707.000000000,"2804 of 3142"
"Northampton County, North Carolina",37131,Rural,45698.000000000,"2805 of 3142"
"Rockcastle County, Kentucky",21203,Rural,45693.000000000,"2806 of 3142"
"Fayette County, Alabama",01057,Rural,45650.000000000,"2807 of 3142"
"Lauderdale County, Mississippi",28075,Rural,45649.000000000,"2808 of 3142"
"Dougherty County, Georgia",13095,Urban,45640.000000000,"2809 of 3142"
"Hart County, Kentucky",21099,Rural,45561.000000000,"2810 of 3142"
"Tishomingo County, Mississippi",28141,Rural,45545.000000000,"2811 of 3142"
"Candler County, Georgia",13043,Rural,45519.000000000,"2812 of 3142"
"Greenbrier County, West Virginia",54025,Rural,45519.000000000,"2812 of 3142"
"Winston County, Mississippi",28159,Rural,45516.000000000,"2814 of 3142"
"Harney County, Oregon",41025,Rural,45462.000000000,"2815 of 3142"
"Kenedy County, Texas",48261,Rural,45455.000000000,"2816 of 3142"
"Okfuskee County, Oklahoma",40107,Rural,45429.000000000,"2817 of 3142"
"Baker County, Georgia",13007,Rural,45417.000000000,"2818 of 3142"
"Scott County, Arkansas",05127,Rural,45340.000000000,"2819 of 3142"
"Pickens County, Alabama",01107,Urban,45339.000000000,"2820 of 3142"
"Perry County, Kentucky",21193,Rural,45330.000000000,"2821 of 3142"
"Dawson County, Texas",48115,Rural,45268.000000000,"2822 of 3142"
"Martin County, Kentucky",21159,Rural,45265.000000000,"2823 of 3142"
"Bristol City, Virginia",51520,Urban,45250.000000000,"2824 of 3142"
"Kiowa County, Colorado",08061,Rural,45250.000000000,"2824 of 3142"
"Falls County, Texas",48145,Urban,45172.000000000,"2826 of 3142"
"Cocke County, Tennessee",47029,Rural,45110.000000000,"2827 of 3142"
"Warren County, Georgia",13301,Rural,45091.000000000,"2828 of 3142"
"Smyth County, Virginia",51173,Rural,45061.000000000,"2829 of 3142"
"Dixie County, Florida",12029,Rural,45057.000000000,"2830 of 3142"
"Hempstead County, Arkansas",05057,Rural,45049.000000000,"2831 of 3142"
"West Carroll Parish, Louisiana",22123,Rural,45035.000000000,"2832 of 3142"
"DeSoto County, Florida",12027,Rural,45000.000000000,"2833 of 3142"
"Acadia Parish, Louisiana",22001,Urban,44977.000000000,"2834 of 3142"
"Drew County, Arkansas",05043,Rural,44968.000000000,"2835 of 3142"
"Scott County, Mississippi",28123,Urban,44968.000000000,"2835 of 3142"
"Adair County, Oklahoma",40001,Rural,44955.000000000,"2837 of 3142"
"Winn Parish, Louisiana",22127,Rural,44922.000000000,"2838 of 3142"
"Grant County, New Mexico",35017,Rural,44895.000000000,"2839 of 3142"
"Haywood County, Tennessee",47075,Rural,44890.000000000,"2840 of 3142"
"Dunklin County, Missouri",29069,Rural,44868.000000000,"2841 of 3142"
"Putnam County, Florida",12107,Rural,44852.000000000,"2842 of 3142"
"Jackson County, Illinois",17077,Rural,44847.000000000,"2843 of 3142"
"Howard County, Arkansas",05061,Rural,44824.000000000,"2844 of 3142"
"Bennett County, South Dakota",46007,Rural,44821.000000000,"2845 of 3142"
"Shoshone County, Idaho",16079,Rural,44807.000000000,"2846 of 3142"
"Ashley County, Arkansas",05003,Rural,44804.000000000,"2847 of 3142"
"Hughes County, Oklahoma",40063,Rural,44799.000000000,"2848 of 3142"
"Martin County, North Carolina",37117,Rural,44799.000000000,"2848 of 3142"
"Catron County, New Mexico",35003,Rural,44777.000000000,"2850 of 3142"
"Van Buren County, Tennessee",47175,Rural,44730.000000000,"2851 of 3142"
"Stephens County, Texas",48429,Rural,44712.000000000,"2852 of 3142"
"Clay County, Arkansas",05021,Rural,44685.000000000,"2853 of 3142"
"Hardee County, Florida",12049,Rural,44665.000000000,"2854 of 3142"
"Lewis County, Tennessee",47101,Rural,44613.000000000,"2855 of 3142"
"Galax City, Virginia",51640,Rural,44612.000000000,"2856 of 3142"
"Lincoln County, Montana",30053,Rural,44593.000000000,"2857 of 3142"
"Red River County, Texas",48387,Rural,44583.000000000,"2858 of 3142"
"Scott County, Virginia",51169,Urban,44535.000000000,"2859 of 3142"
"Fairfield County, South Carolina",45039,Urban,44521.000000000,"2860 of 3142"
"Wyoming County, West Virginia",54109,Rural,44510.000000000,"2861 of 3142"
"Calhoun County, Mississippi",28013,Rural,44505.000000000,"2862 of 3142"
"St. Landry Parish, Louisiana",22097,Rural,44478.000000000,"2863 of 3142"
"Butler County, Alabama",01013,Rural,44429.000000000,"2864 of 3142"
"Barbour County, West Virginia",54001,Rural,44341.000000000,"2865 of 3142"
